Speaker_1,Speaker_2
오늘 너무 힘들다,힘들어?? 같이 맛있는거 먹을래?
저녁에 보자,그래! 우리 뭐할까?!!
우리 뭐할까?,한번 생각해볼게! 
감기 기운이 심해진거 같아ㅜㅜ,헐.. 나도 감기걸렸는데ㅜㅜ 우리둘다 힘내자
몸관리를 잘해봐,응 고마워ㅠㅠ 우리 건강 잘 챙기자
왜 말을 그렇게 해?,내 말에 상처받았어? 미안해
기분 나쁘게 하잖아 ,그런줄 몰랐어ㅠㅠ 미안해!
오늘 차샀다 좋겠지,좋겠다ㅜㅜ 난 걸어다니는데 다음에 드라이브같이가자
무슨 차 샀음?,나 저번에 갖고싶은 차 말했던거 기억나?
나 저번에 갖고싶은 차 말했던거 기억나?,당연히 기억나지~
배고프다,나도 배고프다ㅜㅜ 밥 안먹었어?
뭐 좀 먹어,뭐먹을지 고민중ㅎㅎ
그래야겠다 진짜 배고파,맛있는걸로 먹어!
뭐 먹을건데?,치킨 먹으려고! 같이 먹을래? 
그래 같이 먹자!,신난다! 맥주도 마시자 
치킨 먹으려고,와 맛있겠다 나도 먹고싶어!
그래 좋아,ㅎㅎ 좋아 
BHC 시킬까?,응! 입에서 침나온다 
같이 먹을래?,좋아! 어디로 갈까 
여자친구랑 싸웠다 하..,속상하겠다 그럴때 일수록 잘해주고 오해를 풀어야할거같아!
남자친구랑 싸웠어 ,그래서 기분 안좋았구나ㅜㅜ
왜 싸웠는데?,모르겠어 속상해..
말다툼하다가 싸웠어ㅠㅠ,어떡해ㅠㅠ 지금은 연락돼? 
아직 연락 안해봤어,엄청 신경쓰이겠다.. 그냥 먼저 연락해봐
연락해봐야겠다,
이번 여름 엄청 덥다 그치?,맞아ㅜㅜ 겨울이 좋아 근데 막상 겨울되면 또 춥다고 난리침 ㅋㅋ
빨리 가을 되면 좋겠어 ,맞아! 빨리 시원해지면 좋겠다
땀만 안나도 좋을텐데,나도 보송보송한게 좋아!
남자친구 생일 선물 뭐사줄까?,나같으면 정성스럽게 편지써주고 평소에 남자친구 갖고싶다는거 사줄듯?ㅋㅋ
예산 얼마 있는데?,많지는 않아
사람은 언제 죽는걸까?,왜 그런생각을해? 힘든일 있나?
요즘 자꾸 그런생각이 들어 ,요즘 무슨일 있구나
왜 그런 생각을해?,요즘 자꾸 그런생각이 들어
알람 맞췄는데 못일어났다 지각할거같음,헐 최대한 빨리 달려가봐 ! 안늦을수도있어 ㅌㅌㅌㅌ
달려서 가봐야겠다,최대한 빨리 달려! 안늦을 수 있을거야
